LATITUDE,LONGITUDE,datetime,UTC_TIME
39.894178,116.3182,2008-03-28 14:54:40,14:54:40
39.894505,116.321132,2008-03-28 14:55:14,14:55:14
39.894953,116.326452,2008-03-28 14:56:13,14:56:13
39.8946,116.332542,2008-03-28 14:57:12,14:57:12
39.889622,116.33704,2008-03-28 14:58:11,14:58:11
39.88209,116.338353,2008-03-28 14:59:10,14:59:10
39.873873,116.338455,2008-03-28 15:00:10,15:00:10
39.865182,116.338058,2008-03-28 15:01:09,15:01:09
39.855403,116.33771,2008-03-28 15:02:08,15:02:08
39.844532,116.334362,2008-03-28 15:03:07,15:03:07
39.831557,116.32811,2008-03-28 15:04:06,15:04:06
39.816622,116.322978,2008-03-28 15:05:06,15:05:06
39.801413,116.317968,2008-03-28 15:06:05,15:06:05
39.7854,116.311732,2008-03-28 15:07:04,15:07:04
39.76939,116.305378,2008-03-28 15:08:03,15:08:03
39.754487,116.299953,2008-03-28 15:09:02,15:09:02
39.744377,116.30384,2008-03-28 15:10:02,15:10:02
39.737025,116.308758,2008-03-28 15:11:01,15:11:01
39.728613,116.314788,2008-03-28 15:12:37,15:12:37
39.724603,116.31922,2008-03-28 15:13:36,15:13:36
39.72086,116.323487,2008-03-28 15:14:35,15:14:35
39.720043,116.324422,2008-03-28 15:15:34,15:15:34
39.720043,116.324422,2008-03-28 15:16:33,15:16:33
39.720043,116.324422,2008-03-28 15:17:33,15:17:33
39.720043,116.324422,2008-03-28 15:18:32,15:18:32
39.720043,116.324422,2008-03-28 15:19:31,15:19:31
39.720043,116.324422,2008-03-28 15:20:30,15:20:30
39.720043,116.324422,2008-03-28 15:21:27,15:21:27
39.720043,116.324422,2008-03-28 15:21:29,15:21:29
39.72011,116.324418,2008-03-28 15:22:29,15:22:29
39.720088,116.324433,2008-03-28 15:23:28,15:23:28
39.720088,116.324433,2008-03-28 15:24:27,15:24:27
39.720088,116.324433,2008-03-28 15:25:24,15:25:24
39.720088,116.324433,2008-03-28 15:25:26,15:25:26
39.719042,116.325513,2008-03-28 15:26:25,15:26:25
39.715765,116.329238,2008-03-28 15:27:25,15:27:25
39.711382,116.333743,2008-03-28 15:28:24,15:28:24
39.7054,116.340302,2008-03-28 15:29:23,15:29:23
39.69679,116.350285,2008-03-28 15:30:24,15:30:24
39.687625,116.363503,2008-03-28 15:31:23,15:31:23
39.67674,116.377748,2008-03-28 15:32:22,15:32:22
39.667935,116.396048,2008-03-28 15:33:21,15:33:21
39.65884,116.415025,2008-03-28 15:34:21,15:34:21
39.649112,116.432743,2008-03-28 15:35:20,15:35:20
39.63764,116.448625,2008-03-28 15:36:19,15:36:19
39.62715,116.46574,2008-03-28 15:37:18,15:37:18
39.616632,116.482527,2008-03-28 15:38:17,15:38:17
39.606985,116.500113,2008-03-28 15:39:16,15:39:16
39.601017,116.520655,2008-03-28 15:40:16,15:40:16
39.59442,116.54063,2008-03-28 15:41:15,15:41:15
39.586497,116.559737,2008-03-28 15:42:14,15:42:14
39.577345,116.578128,2008-03-28 15:43:13,15:43:13
39.569098,116.597147,2008-03-28 15:44:12,15:44:12
39.559848,116.615613,2008-03-28 15:45:12,15:45:12
39.550153,116.63331,2008-03-28 15:46:11,15:46:11
39.54026,116.651058,2008-03-28 15:47:10,15:47:10
39.530112,116.669222,2008-03-28 15:48:11,15:48:11
39.521447,116.683257,2008-03-28 15:49:10,15:49:10
39.51647,116.690908,2008-03-28 15:50:09,15:50:09
39.512843,116.697113,2008-03-28 15:51:08,15:51:08
39.511005,116.700307,2008-03-28 15:52:08,15:52:08
39.511005,116.700307,2008-03-28 15:53:07,15:53:07
39.511005,116.700307,2008-03-28 15:54:06,15:54:06
39.511005,116.700307,2008-03-28 15:55:05,15:55:05
39.511005,116.700307,2008-03-28 15:56:02,15:56:02
39.511005,116.700307,2008-03-28 15:56:04,15:56:04
39.51097,116.700392,2008-03-28 15:57:03,15:57:03
39.509652,116.702593,2008-03-28 15:58:03,15:58:03
39.506952,116.707353,2008-03-28 15:59:02,15:59:02
